"State House Districts","American Indian and Alaska native alone (Race)","Asian alone (Race)","Black or African American alone (Race)","Native Hawaiian and Other Pacific native alone (Race)","Some other race alone (Race)","Two or more races (Race)","White alone (Race)","Female (Gender)","Male (Gender)"
"1","129","230","460","12","303","490","41625","23318","19931"
"2","259","353","1062","18","631","898","43606","24391","22436"
"3","596","321","929","7","551","943","47577","26216","24708"
"4","95","145","823","12","470","625","40514","22504","20180"
"5","354","393","1707","18","785","1182","43867","25081","23225"
"6","61","404","516","19","212","511","33258","18525","16456"
"7","74","210","209","7","95","378","38411","20000","19384"
"8","52","444","1551","14","334","674","33138","19014","17193"
"9","56","328","456","11","197","292","37540","20222","18658"
"10","71","704","738","4","909","436","45924","25045","23741"
"11","67","1367","691","15","765","753","38410","21627","20441"
"12","55","277","1132","10","1031","997","38147","21615","20034"
"13","95","254","260","9","185","402","38299","20171","19333"
"14","57","167","371","6","414","427","37288","20139","18591"
"15","50","629","1026","15","511","868","38397","22251","19245"
"16","82","711","920","10","636","1108","31397","18524","16340"
"17","65","742","373","4","234","513","30748","16907","15772"
"18","78","419","390","12","1675","649","41350","22471","22102"
"19","85","166","328","9","545","498","37567","20288","18910"
"20","79","224","494","6","831","884","37662","20984","19196"
"21","330","273","2034","8","4424","2441","26263","19094","16679"
"22","202","187","1673","33","3819","2456","26823","18454","16739"
"23","50","695","399","8","166","327","41091","21788","20948"
"24","82","227","210","13","87","360","40487","21689","19777"
"25","70","312","363","5","306","322","44828","23788","22418"
"26","104","633","1149","14","2319","1022","39800","23576","21465"
"27","48","651","148","7","109","244","41325","22097","20435"
"28","58","267","212","10","199","391","40170","21623","19684"
"29","70","511","413","12","207","392","38257","21011","18851"
"30","87","807","1274","19","2724","999","34497","21662","18745"
"31","35","420","510","12","248","410","36329","20148","17816"
"32","26","439","306","18","146","285","36702","19727","18195"
"33","139","2171","4422","21","4503","1966","27758","21313","19667"
"34","174","3399","4488","49","4022","2143","25344","20266","19353"
"35","56","547","408","6","868","804","37939","21240","19388"
"36","28","453","168","5","91","203","37906","20495","18359"
"37","132","1457","1274","17","6632","1250","30896","21717","19941"
"38","82","970","426","4","1224","583","37284","21121","19452"
"39","397","581","2062","45","16721","3181","14800","19872","17915"
"40","93","1887","681","22","4371","707","31799","20543","19017"
"41","111","480","323","18","259","529","38453","20616","19557"
"42","98","274","345","5","331","674","37289","20230","18786"
"43","113","195","216","17","199","414","37393","19696","18851"
"44","52","605","434","19","297","290","38674","21065","19306"
"45","78","320","323","4","166","353","40553","21553","20244"
"46","63","553","572","10","821","593","25941","14615","13938"
"47","132","237","1207","38","9389","885","21747","17660","15975"
"48","118","433","746","35","2487","874","44083","25549","23227"
"49","69","404","861","13","290","530","40008","21005","21170"
"50","61","280","585","36","1490","581","32030","18336","16727"
"51","88","336","2683","29","4552","1215","26372","18672","16603"
"52","198","942","5562","83","12587","1897","13234","18132","16371"
"53","128","522","6524","8","2121","1038","26179","19231","17289"
"54","137","548","15335","27","5068","1637","11791","18316","16227"
"55","37","824","2103","14","1084","699","35379","21161","18979"
"56","115","1359","816","27","852","836","46886","28895","21996"
"57","33","384","149","1","219","236","25152","13623","12551"
"58","84","3182","1819","33","1026","1248","30695","19751","18336"
"59","76","358","445","6","219","513","41597","21839","21375"
"60","38","1372","546","18","189","428","35689","19074","19206"
"61","80","647","1405","16","722","724","38322","20125","21791"
"62","79","1612","831","19","1217","1096","38765","22116","21503"
"63","41","1368","569","17","272","550","37567","21204","19180"
"64","26","2688","1108","6","670","753","32146","19301","18096"
"65","105","1202","2563","25","3770","1813","34709","23241","20946"
"66","56","815","333","13","146","377","46636","24599","23777"
"67","32","2748","1120","17","314","505","27828","16757","15807"
"68","73","2462","1645","25","1670","739","30975","19023","18566"
"69","25","2708","888","12","305","631","31758","19611","16716"
"70","26","2719","646","14","221","479","31956","19381","16680"
"71","46","1494","340","9","197","464","37824","20851","19523"
"72","32","2663","538","9","509","563","37878","21178","21014"
"73","54","3646","733","4","209","597","33168","20232","18179"
"74","26","1791","274","5","183","367","35929","19873","18702"
"75","98","3592","1989","11","2986","1569","31419","21301","20363"
"76","63","4459","826","7","1539","1258","28423","18685","17890"
"77","97","9744","1671","20","2331","1379","20872","18017","18097"
"78","51","732","230","3","166","299","40197","21153","20525"
"79","25","1144","190","8","105","242","40423","21564","20573"
"80","23","614","280","10","85","391","39751","20679","20475"
"81","45","3166","531","5","134","375","34895","19810","19341"
"82","39","1074","432","16","127","387","36906","19158","19823"
"83","50","1410","1378","7","254","581","31818","18928","16570"
"84","52","2204","611","3","207","612","34426","20350","17765"
"85","87","3783","4315","24","751","1278","26499","19697","17040"
"86","132","5461","4814","38","1243","1791","28770","21056","21193"
"87","122","3139","4289","38","3059","3143","28144","20717","21217"
"88","63","2382","1616","13","1088","1198","29166","18370","17156"
"89","123","1535","2682","27","2008","2181","32988","21726","19818"
"90","55","1550","612","6","288","680","32695","19252","16634"
"91","36","1806","697","19","535","421","33744","19046","18212"
"92","35","1379","262","9","137","392","35279","19872","17621"
"93","36","859","355","9","185","485","36522","20298","18153"
"94","61","5668","2977","22","759","1404","28414","20382","18923"
"95","62","1922","3293","15","1123","1428","28238","19158","16923"
"96","29","1530","1030","15","289","546","31279","18337","16381"
"97","53","1055","280","13","140","406","40525","21597","20875"
"98","52","8023","1078","10","275","658","29022","20247","18871"
"99","69","4125","991","9","347","628","31981","20257","17893"
"100","70","2160","877","11","365","618","33416","19680","17837"
"101","72","599","628","19","242","434","34528","19045","17477"
"102","43","1174","606","12","275","424","36771","20706","18599"
"103","66","1965","3741","10","517","756","33410","21158","19307"
"104","44","1871","4876","16","473","818","28428","19253","17273"
"105","49","1346","1925","12","389","780","36465","21309","19657"
"106","75","488","952","4","645","351","41404","21096","22823"
"107","71","636","438","15","139","407","46115","24364","23457"
"108","43","789","432","10","218","365","35724","19538","18043"
"109","31","1580","702","6","242","407","36073","20492","18549"
"110","11","1349","259","1","92","271","38112","20897","19198"
"111","28","2473","561","9","190","522","34299","21108","16974"
"112","58","5388","1276","13","461","944","32719","22490","18369"
"113","112","267","930","19","473","713","42655","22580","22589"
"114","174","201","822","14","1234","994","39210","22334","20315"
"115","46","328","143","10","109","328","37229","19969","18224"
"116","32","171","219","6","357","365","41037","21795","20392"
"117","41","404","411","1","191","411","39140","20926","19673"
"118","48","211","281","3","140","308","39679","20777","19893"
"119","61","192","330","7","156","418","40297","21169","20292"
"120","61","382","1229","8","1663","434","36855","19965","20667"
"121","125","902","6484","14","4738","3292","25260","21004","19811"
"122","135","539","4126","12","1548","1499","31114","20128","18845"
"123","111","954","6538","10","4397","2824","28635","22861","20608"
"124","85","182","424","9","201","460","39830","21255","19936"
"125","173","1629","1745","18","6738","2608","27725","19645","20991"
"126","182","1913","2705","40","6802","2125","29023","21951","20839"
"127","86","7636","2330","15","727","725","28037","18928","20628"
"128","125","2281","2360","13","1946","1032","29826","19727","17856"
"129","236","1436","20361","21","7697","3403","4343","20041","17456"
"130","179","473","26054","18","2825","1988","6767","20553","17751"
"131","194","1431","19077","37","3408","1856","10904","20239","16668"
"132","64","4471","995","26","528","819","28434","18700","16637"
"133","185","3537","8068","40","2773","1488","22161","17184","21068"
"134","86","1834","2147","10","783","878","32437","20295","17880"
"135","214","1218","14179","16","4698","2039","13947","19411","16900"
"136","156","1020","23199","24","1189","1748","8668","19454","16550"
"137","164","6520","9546","18","2129","1835","18798","20026","18984"
"138","100","728","7927","34","2630","1495","22993","19469","16438"
"139","223","2426","8471","23","4557","1778","16196","17610","16064"
"140","103","2493","2446","15","2912","1401","32220","21644","19946"
"141","91","5609","2092","23","1671","1297","27494","19705","18572"
"142","75","4492","1287","27","1342","1134","28113","18743","17727"
"143","105","1810","977","35","1515","1388","34267","20819","19278"
"144","73","287","255","8","196","419","42676","22188","21726"
"145","88","407","528","16","283","464","34282","17733","18335"
"146","138","1668","1426","13","2652","1198","32007","20443","18659"
"147","63","1006","1529","24","1785","914","35982","21443","19860"
"148","100","113","179","4","89","366","38669","20200","19320"
"149","112","453","342","18","1566","620","37525","20747","19889"
"150","64","347","253","11","150","343","39848","21356","19660"
"151","105","314","277","13","334","448","41289","21890","20890"
"152","54","362","315","4","206","461","40566","21631","20337"
"153","34","583","453","17","579","588","38816","21098","19972"
"154","61","3864","718","8","360","558","44068","25311","24326"
"155","64","735","486","12","880","478","37601","20515","19741"
"156","84","836","1019","4","590","696","35719","20825","18123"
"157","163","1159","3601","39","2729","1141","29769","19310","19291"
"158","213","2019","3257","24","4927","1676","25121","18951","18286"
"159","166","2094","2369","20","2076","1459","30936","20109","19011"
"160","189","2467","2199","15","2285","1122","29629","19803","18103"
